Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,Comments
280,Finches,Fringillidae,Greenfinch,Carduelis chloris,14,"Calls include a rapid trilling ""chick, chick, chick"", and more nasal ""twee-ee"". Song, which is given from high open perch or in butterfly-like song-flight, is a twittering mixture of calls.",
280,Finches,Fringillidae,Siskin,Carduelis spinus,11,"Wheezy call diagnostic. Song, delivered from high perch  or in song-flight, is twittering.",
282,Finches,Fringillidae,Goldfinch,Carduelis carduelis,12,"Call is characteristic, liquid ""deedelit"", often repeated. Song, delivered from an exposed perch, is a similarly liquid twittering.",
282,Finches,Fringillidae,Linnet,Carduelis cannabina,13,"Call ""tsweet""; twitters in flight. Song, usually given from open perch, is a pleasant, varied twitter.",
282,Finches,Fringillidae,Twite,Carduelis flavirostris,13,"Call is a nasal, metallic ""tweeh"". Song, delivered from perch or in song flight, resembles that of Linnet but is slower and harder.",
284,Finches,Fringillidae,Redpoll,Carduelis flammea,13,"Call is a hoarse ""chi-chi-chit"". Song, given from perch or in song-flight, is a trilling twitter.",
284,Finches,Fringillidae,Arctic Redpoll,Carduelis hornemanni,13,Habits and voice as those of Redpoll.,
284,Finches,Fringillidae,Trumpeter Finch,Bucanetes githaginea,14,Call is short and nasal.,
284,Finches,Fringillidae,Scarlet Rosefinch,Carpodacus erythrinus,14,"Call is soft repeated ""screet"". Song is piping and trilling. Call is a loud whistle.",
284,Finches,Fringillidae,Pine Grosbeak,Pinicola enucleator,20,Call consists of three high whistles. Song is a loud warble.,
286,Finches,Fringillidae,Crossbill,Loxia curvirostra,17,"Call is unmistakable ""kip, kip, kip"" given with great emphasis. Song is twittering, with characteristic calls interspersed.",
286,Finches,Fringillidae,Scottish Crossbill,Loxia scotica,17,"Its call is louder and deeper than that of the Crossbill and it has a characteristic alarm call: ""toop, toop"", which is lacking in the Crossbill.",
286,Finches,Fringillidae,Parrot Crossbill,Loxia pytyopsittacus,7,Call deeper and louder than Crossbill's.,
286,Finches,Fringillidae,Two-barred Crossbill,Loxia leucoptera,15,"Call consists of three to four redpoll-like notes, higher and decidedly different from call of Crossbill. Song is long and canary-like.",
288,Buntings,Emberizidae,Corn Bunting,Miliaria calandra,18,"Call is short and harsh ""tsrip"". Characteristic song, which is usually given from exposed perch (often from wires), is monotonous; jingling.",
288,Buntings,Emberizidae,Little Bunting,Emberiza pusilla,13,"Call is a sharp ""tick"". Song is short and melodious, of same quality as Robin's.",
288,Buntings,Emberizidae,Rustic Bunting,Emberiza rustica,15,"Call is a short, sharp ""tick"". Song varied, but usually rather short with a Dunnock-like quality.",
290,Buntings,Emberizidae,Rock Bunting,Emberiza cia,16,"Call is a thin, sharp ""zeet"". Song, which is usually given rom high, open perch, is a high-pitched series of ""zee"" notes, somewhat varied in sequence.",
290,Buntings,Emberizidae,Ortolan Bunting,Emberiza hortulana,17,"Call is a high-pitched soft ""tsee"". Song resembles that of Yellowhammer but has 'ringing' quality and is much slower. The last notes are of a lower pitch than the preceding ones.",
290,Buntings,Emberizidae,Cretzschmar's Bunting,Emberiza caesia,17,Call is harder and sharper than Ortolan's and more penetrating. Song is a short twitter resembling that of Ortolan.,
292,Buntings,Emberizidae,Red-headed Bunting,Emberiza bruniceps,15,"Call is a series of harsh notes. Song is a short, fast, monotonous warble.",
292,Buntings,Emberizidae,Pine Bunting,Emberiza leucocephalos,16,"Call resembles that of Yellowhammer, of which it may be a subspecies. Song somewhat similar to that of Chaffinch with an ascending pitch.",
292,Buntings,Emberizidae,Cinereous Bunting,Emberiza cineracea,17,"Song is simple, bunting-like.",
292,Buntings,Emberizidae,Reed Bunting,Emberiza schoeniclus,15,"Call is a loud ""zeek"". Song, which is usually given from open perch, is short and monotonous ""chi-chi-chi-chitty"".",
294,Buntings,Emberizidae,Yellowhammer,Emberiza citrinella,17,"Call is sharp ""tjip"". Song, uttered from exposed perch, is monotonous *little bit of bread and no———cheese*.",
294,Buntings,Emberizidae,Yellow-breasted Bunting,Emberiza aureola,14,"Call is short ""tick"". Song resembles Ortolan's but is louder and faster.",
294,Buntings,Emberizidae,Cirl Bunting,Emberiza cirlus,17,"Call is repeated ""sip"". Song, given from exposed perch, is vibrating repetition of metallic notes.",
294,Buntings,Emberizidae,Black-headed Bunting,Emberiza melanocephala,17,"Call is short ""sit"". Song starts with a few similar short notes ending in short, pleasant warble. Usually given from exposed perch.",
296,Buntings,Emberizidae,Lapland Bunting,Calcarius lapponicus,15,"Call is short trill. Song, usually given in song-flight, has same quality as Skylark's, but is shorter.",
296,Buntings,Emberizidae,Snow Bunting,Plectrophenax nivalis,16,"Call is short descending whistle: ""seeoo"". Song, given from rocky perch or song-flight, is a loud, short, lark-like warble.",
296,Buntings,Emberizidae,Snow Finch,Montifringilla nivalis,18,"Call is rather harsh ""zjeeb"". Song, given from rocky perch or song-flight is twittering.",
